Created at	Closed at	Updated at	Saved at	State	Labels
Mon May 28 05:22:31 CEST 2018	Mon Sep 17 13:03:21 CEST 2018	Mon Sep 17 13:03:21 CEST 2018	null	closed	[bug, parentheses, unstable formatting]	
Tue May 29 17:18:05 CEST 2018	Tue Jun 05 06:28:37 CEST 2018	Tue Jun 05 06:28:37 CEST 2018	null	closed	[bug]	
Sun Jun 03 22:22:21 CEST 2018	Tue Jun 05 06:28:37 CEST 2018	Wed Jun 06 18:06:21 CEST 2018	null	closed	[bug]	
Wed Jun 06 18:11:54 CEST 2018	Thu Jun 07 00:44:13 CEST 2018	Thu Jun 07 00:44:13 CEST 2018	null	closed	[bug]	
Thu Jun 07 12:31:54 CEST 2018	Thu Jun 07 20:41:35 CEST 2018	Thu Jun 07 20:41:35 CEST 2018	null	closed	[bug]	
Fri Jun 08 21:31:13 CEST 2018	Sat Jun 09 21:30:50 CEST 2018	Sat Jun 09 21:30:50 CEST 2018	null	closed	[bug, invalid code]	
Sat Jun 09 19:49:06 CEST 2018	Tue Jun 19 07:38:14 CEST 2018	Tue Jun 19 07:38:14 CEST 2018	null	closed	[bug]	
Sun Jun 10 07:40:18 CEST 2018	Wed Jun 20 05:46:26 CEST 2018	Wed Jun 20 05:46:26 CEST 2018	null	closed	[bug, invalid code]	
Sun Jun 10 08:12:49 CEST 2018	Wed Jun 20 02:37:04 CEST 2018	Wed Jun 20 02:37:04 CEST 2018	null	closed	[bug]	
Mon Jun 11 18:17:53 CEST 2018	Wed Jun 13 09:07:05 CEST 2018	Wed Jun 13 09:07:05 CEST 2018	null	closed	[bug]	
Thu Jun 21 22:28:01 CEST 2018	Thu Jun 21 23:03:19 CEST 2018	Fri Jun 22 06:42:53 CEST 2018	null	closed	[bug]	
Thu Jun 21 22:58:09 CEST 2018	Sat Sep 08 11:34:09 CEST 2018	Sat Sep 08 11:34:09 CEST 2018	null	closed	[bug]	
Fri Jun 29 16:37:50 CEST 2018	Sun Jul 22 16:30:18 CEST 2018	Sun Jul 22 16:30:18 CEST 2018	null	closed	[bug]	
Sun Jul 01 12:18:31 CEST 2018	Mon Jul 02 18:50:09 CEST 2018	Mon Jul 02 18:50:09 CEST 2018	null	closed	[bug]	
Fri Jul 06 04:25:13 CEST 2018	Sat Jul 07 12:35:01 CEST 2018	Sat Jul 07 12:35:01 CEST 2018	null	closed	[bug]	
Tue Jul 10 13:18:26 CEST 2018	Fri Aug 17 13:26:05 CEST 2018	Fri Aug 17 13:26:13 CEST 2018	null	closed	[bug, duplicate, unstable formatting]	
Tue Jul 24 10:12:57 CEST 2018	Tue Jul 24 13:31:09 CEST 2018	Tue Jul 24 13:31:09 CEST 2018	null	closed	[not a bug]	
Sat Jul 28 16:50:02 CEST 2018	Fri Aug 17 18:03:16 CEST 2018	Fri Aug 17 18:03:16 CEST 2018	null	closed	[bug, documentation, question]	
Thu Aug 09 05:00:55 CEST 2018	Wed Aug 22 06:11:00 CEST 2018	Wed Aug 22 06:11:00 CEST 2018	null	closed	[bug]	
Tue Aug 21 10:52:16 CEST 2018	Thu Aug 23 13:52:08 CEST 2018	Thu Aug 23 13:52:08 CEST 2018	null	closed	[bug]	
Mon Sep 10 05:14:03 CEST 2018	Wed Sep 26 15:35:09 CEST 2018	Wed Sep 26 15:35:17 CEST 2018	null	closed	[not a bug]	
